"name";"score"
"org.joda.time.DateTimeZone.parseOffset(Ljava/lang/String;)I";0.997472833
"org.joda.time.DateTimeZone$1.withUTC()Lorg/joda/time/Chronology;";0.997472833
"org.joda.time.DateTimeZone$1.<init>()V";0.997472833
"org.joda.time.DateTimeZone$1.getZone()Lorg/joda/time/DateTimeZone;";0.997472833
"org.joda.time.DateTimeZone.offsetFormatter()Lorg/joda/time/format/DateTimeFormatter;";0.997472833
"org.joda.time.tz.FixedDateTimeZone.<init>(Ljava/lang/String;Ljava/lang/String;II)V";0.9962140333
"org.joda.time.DateTimeZone.forOffsetHoursMinutes(II)Lorg/joda/time/DateTimeZone;";0.9952092789
"org.joda.time.tz.FixedDateTimeZone.equals(Ljava/lang/Object;)Z";0.9929559748
"org.joda.time.DateTimeZone.forOffsetMillis(I)Lorg/joda/time/DateTimeZone;";0.9927062374
"org.joda.time.DateTimeZone.fixedOffsetZone(Ljava/lang/String;I)Lorg/joda/time/DateTimeZone;";0.9907128514
"org.joda.time.DateTimeZone.printOffset(I)Ljava/lang/String;";0.989967394
"org.joda.time.DateTimeZone.<init>(Ljava/lang/String;)V";0.9894710454
"org.joda.time.field.FieldUtils.safeMultiply(II)I";0.9862568716
"org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset.digitCount(Ljava/lang/String;II)I";0.9815966178
"org.joda.time.format.FormatUtils.parseTwoDigits(Ljava/lang/String;I)I";0.9815966178
"org.joda.time.chrono.BaseChronology.<init>()V";0.975531389
"org.joda.time.format.DateTimeParserBucket.setOffset(Ljava/lang/Integer;)V";0.972646624
"org.joda.time.Chronology.<init>()V";0.9719280965
"org.joda.time.DateTimeZone.forID(Ljava/lang/String;)Lorg/joda/time/DateTimeZone;";0.9622135544
"org.joda.time.tz.ZoneInfoProvider.getZone(Ljava/lang/String;)Lorg/joda/time/DateTimeZone;";0.9615103532
"org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset.parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I";0.9615103532
"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J";0.9513135695
"org.joda.time.format.DateTimeFormatter.withChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/format/DateTimeFormatter;";0.9492544493
"org.joda.time.format.DateTimeParserBucket.sort([Lorg/joda/time/format/DateTimeParserBucket$SavedField;I)V";0.9291431262
"org.joda.time.format.DateTimeParserBucket.computeMillis(ZLjava/lang/String;)J";0.9291431262
"org.joda.time.format.DateTimeFormatter.<init>(Lorg/joda/time/format/DateTimePrinter;Lorg/joda/time/format/DateTimeParser;Ljava/util/Locale;ZLorg/joda/time/Chronology;Lorg/joda/time/DateTimeZone;Ljava/lang/Integer;I)V";0.925222691
"org.joda.time.format.DateTimeParserBucket.<init>(JLorg/joda/time/Chronology;Ljava/util/Locale;Ljava/lang/Integer;I)V";0.9202611331
"org.joda.time.format.DateTimeFormatter.requireParser()Lorg/joda/time/format/DateTimeParser;";0.9198322069
